Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P2047	null	duration (Q21886162)	event (Q1190554), process (Q3249551)	null	La Grande Vadrouille (Q487789) ? 132 minute pregnancy (Q11995) ? 38 week Baktun (Q804537) ? 144000 day and 394.26 tropical year	Number
P912	An installation, contrivance, or other things which facilitates something; a place for doing something.	null	place, some terms	any item which describes a facility, e.g. escalator, toilet, car park, hangar, wheelchair ramp/lift, clinic, telephone, wi-fi, port crane, post office, letter box, lifeguard station, etc. (note: this should be moved to the property statements)	According to this template: HMS Montrose (Q5633432) => hangar (Q192375) According to statements in the property: Victoria Coach Station (Q279459) ? left luggage (Q21996814) and baby change (Q22077717) HMS Montrose (Q5633432) ? hangar (Q192375) When possible, data should only be stored as statements	Item
P2044	altura del elemento en relación al nivel del mar (es) – (Please translate this into English.)	height above mean sea level (Q6452016)	geographic location (Q2221906) (place)	height in meters or feet (note: this should be moved to the property statements)	Piton des Neiges (Q1545452) ? 3070.5 metre	Number
P1198	The unemployment rate. Total employed persons / labor force. Qualify with point in time (P585).	unemployment rate (Q1787954)	Country, region, cities - any type of administrative territorial entity (Q56061)	between 0.00 and 1.00 (note: this should be moved to the property statements)	United States of America (Q30) => 6.7±0.1 percentage (Q11229) qualifier point in time (P585) => December 2013 (note: this should be moved to the property statements)	Number
P2045	null	orbital inclination (Q4112212)	null	null	Makemake (Q604) ? 29.00685 degree	Number
P1074	used to link a class of items appearing in a creative work with the analogous class of objects in the real word	null	generic, every concept (class) used in a fiction (for example, a sword) - subclasses of fictitious entity (Q14897293)	corresponding but non-fictional item (note: this should be moved to the property statements)	fictional spacecraft (Q14637321) ? spacecraft (Q40218)	Item
P1075	the rector of a university.	rector (Q212071)	Universities - university (Q3918)	persons (note: this should be moved to the property statements)	According to this template: Politecnico di Milano (Q392904) => Giovanni Azzone (Q3766511) According to statements in the property: Politecnico di Milano (Q392904) ? Giovanni Azzone (Q3766511) When possible, data should only be stored as statements	Item
P1196	the item which best describes the circumstances of a person's death	manner of death (Q2438541)	human (Q5)	one of: natural causes (Q3739104), accident (Q171558), suicide (Q10737), homicide (Q149086), pending investigation (Q15729048), capital punishment (Q8454) or the special 'unknown value'. Do not expand list of allowed values. This property is tied to the US Standard Death Certificate. (note: this should be moved to the property statements)	Augustin Robespierre (Q554278) ? capital punishment (Q8454) Alexander Radishchev (Q217470) ? suicide (Q10737) Paul Walker (Q213864) ? accident (Q171558)	Item
P2043	Spatial extent for the object along the main axis, what is most commonly referred to as its length.	length (Q36253)	Any object with spatial extent	All positive one-dimensional values with a length unit (note: this should be moved to the property statements)	Trans-Siberian railway (Q58767) ? 9289 kilometre	Number
P1072	file format that a program can open and read	null	application (Q166142)	file format (Q235557) (note: this should be moved to the property statements)	According to this template: Adobe Photoshop (Q129793) => JPEG (Q2195) and others According to statements in the property: Adobe Photoshop (Q129793) ? JPEG (Q2195) When possible, data should only be stored as statements	Item
P1193	proportion of a population found to have this condition - prevalence (Q719602). Qualify with country (P17) and point in time (P585), as appropriate.	prevalence (Q719602)	physiological condition (Q7189713), more specifically disease (Q12136), (items related to wikipedia category Category:Diseases and disorders (Q7215431))	positive value between 0% and 100% (note: this should be moved to the property statements)	Huntington's disease (Q190564) => 0.000123 with country (P17)=United Kingdom (Q145) Duchenne muscular dystrophy (Q1648484) => 0.00027777777 with population = male infants (note: this should be moved to the property statements)	Number
P1073	file format a program can create and/or write to.	null	application (Q166142)	file format (Q235557) (note: this should be moved to the property statements)	According to this template: Adobe Photoshop (Q129793) => JPEG (Q2195) and others According to statements in the property: GIMP (Q8038) ? XCF (Q261907) Adobe Photoshop (Q129793) ? JPEG (Q2195) When possible, data should only be stored as statements	Item
P1194	The type of signals a machinery can detect.	null	all kinds of machines that do transmitting	signal bands - signal (Q174984) (note: this should be moved to the property statements)	Gaia (Q767805) ? X band (Q1190763)	Item
P1191	Date of first performance of a theater piece etc.	première (Q204854)	Instances of work (Q386724)	null	Intrigue and Love (Q263150) => 13 April 1784 + qualifier location (P276): Schauspiel Frankfurt (Q2232092) The War of the Worlds (Q24958) => 30 October 1938 + qualifier original network (P449): CBS Radio Network (Q18336099) (note: this should be moved to the property statements)	Point in time
P1071	place where the item is or was made; location of final assembly. For ships, use no label (P198) for shipyard (Q190928) or shipbuilding company (Q16274795).	null	artefact (Q15222213) ?	instance of geographic location (Q2221906) (note: this should be moved to the property statements)	According to this template: Mona Lisa (Q12418) -> Florence (Q2044) According to statements in the property: Mona Lisa (Q12418) ? Florence (Q2044) When possible, data should only be stored as statements	Item
P1192	railway service (Q16323955) : the service which stops at a specific station. See also connecting line (P81).	null	railway station (Q55488)	line (Q1067164), primarily railway service (Q16323955) (note: this should be moved to the property statements)	According to this template: Nishi-Ogikubo Station (Q801263) ==> Ch?? Line (Rapid) (Q1191297) According to statements in the property: Nishi-Ogikubo Station (Q801263) ? Ch?? Line (Rapid) (Q1191297) When possible, data should only be stored as statements	Item
P1906	null	null	instances of administrative territorial entity (Q56061)	instances of position (Q4164871) (note: this should be moved to the property statements)	Israel (Q801) ? President of Israel (Q327948) United Kingdom (Q145) ? Monarch of the United Kingdom (Q9134365)	Item
P942	the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)	theme music (Q1193470)	person, organization, event, creative work, term	song, music track (note: this should be moved to the property statements)	2003 SummerSlam (Q59369) ? St. Anger (Q1347942)	Item
P941	this creative work is influenced by another creative work, human, or event	null	creative works	creative works, humans, events (note: this should be moved to the property statements)	The Matrix (Q83495) ? Alice's Adventures in Wonderland (Q92640)	Item
P1903	null	Volcanic Explosivity Index (Q210510)	volcanic eruption (Q7692360)	0 to 9 (note: this should be moved to the property statements)	2010 eruptions of Eyjafjallajökull (Q269442) ? Volcanic explosivity index 4: Pelean/Plinian (Q19986423)	Item
P706	located on the specified landform or body of water. Should not be used when the value is only political/administrative (towns, cities, provinces, states, countries, etc.) See also: located in the administrative territorial entity (P131).	landform (Q271669)	structures (e.g. buildings), places (towns), landforms, and bodies of water	landforms or bodies of water (note: this should be moved to the property statements)	According to this template: Oahu (Q131347) => Pacific Ocean (Q98) (island in ocean), Manitoulin Island (Q654405) => Lake Huron (Q1383) (island in lake), Nettilling Lake (Q1132211) => Baffin Island (Q81178) (lake on island), Meyer–Womble Observatory (Q6826502) => Mount Evans (Q1950460) (building on mountain) According to statements in the property: Oahu (Q131347) ? Mount Evans (Q1950460) When possible, data should only be stored as statements	Item
P826	the key of a piece usually refers to the tonic note and chord, which gives a subjective sense of arrival and rest. This property will be used to import w:Category:Compositions_by_key	key (Q534932), tonality (Q192822)	creative work/ musical compositions	see en:Category:Musical keys; (note: this should be moved to the property statements)	According to this template: Piano Sonata No. 31 (Q146767) -> A-flat major (Q719309) According to statements in the property: Piano Sonata No. 31 (Q146767) ? A-flat major (Q719309) When possible, data should only be stored as statements	Item
P708	The diocese to which the monastery belongs or belonged (also true for persons or organizations)	diocese (Q665487)	person, place, organization	diocese (Q665487), eparchy (Q285181), apostolic vicariate (Q620225), archeparchy (Q2288631), Military ordinariate (Q1531518), territorial abbey (Q1778235), apostolic administration (Q1431554), Apostolic prefect (Q384003) (note: this should be moved to the property statements)	According to this template: Roman Catholic Diocese of Hong Kong (Q869506) According to statements in the property: Turku Cathedral (Q1187606) ? Archdiocese of Turku (Q1365769) Oulu Parish Union (Q11886117) ? Diocese of Oulu (Q873680) When possible, data should only be stored as statements	Item
